PUBLISHED CARRIER,OPERATOR,ORIGIN,Continent,FLIGHT NUMBER,EQUIP TYPE,ARRIVAL TIME,DEST TERM,Inbound,Outbound
Aer Lingus,Aer Lingus,"Dublin, IE",Europe,133,332,1300,E ,267.0,
Aer Lingus,Aer Lingus,"Dublin, IE",Europe,136,330,1825,E ,,322.0
Aer Lingus,Aer Lingus,"Dublin, IE",Europe,137,330,1615,E ,322.0,
Aer Lingus,Aer Lingus,"Dublin, IE",Europe,138,332,2050,E ,,267.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,354,E75,0815,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,355,E90,0630,B ,,97.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,356,E75,1026,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,357,E75,0850,B ,,73.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,358,E75,1314,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,359,E75,1105,B ,,73.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,360,E75,1501,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,361,E75,1350,B ,,73.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,362,E75,1621,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,363,E75,1540,B ,,73.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,364,E75,1748,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,365,E75,1700,B ,,73.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,366,E75,1918,B ,73.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,367,E75,1825,B ,,73.0
Air Canada,Air Canada,"Toronto, ON, CA",Canada,368,E90,2152,B ,97.0,
Air Canada,Air Canada,"Toronto, ON, CA",Canada,369,E75,1955,B ,,73.0
Air Canada,Jazz Air,"Halifax, NS, CA",Canada,8891,CRJ,1226,B ,50.0,
Air Canada,Jazz Air,"Halifax, NS, CA",Canada,8892,CRJ,1300,B ,,50.0
Air Canada,Jazz Air,"Halifax, NS, CA",Canada,8893,CRJ,0854,B ,50.0,
Air Canada,Jazz Air,"Halifax, NS, CA",Canada,8894,CRJ,0800,B ,,50.0
Air Canada,Jazz Air,"Halifax, NS, CA",Canada,8895,CRJ,1656,B ,50.0,
Air Canada,Jazz Air,"Halifax, NS, CA",Canada,8896,CRJ,1730,B ,,50.0
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7678,CRJ,0727,B ,50.0,
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7679,DH4,0715,B ,,74.0
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7681,CRJ,0950,B ,,50.0
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7682,DH4,1235,B ,74.0,
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7684,DH4,1615,B ,74.0,
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7685,DH4,1315,B ,,74.0
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7686,CRJ,1922,B ,50.0,
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7687,DH4,1655,B ,,74.0
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7688,DH4,2115,B ,74.0,
Air Canada,Jazz Air,"Montreal-PET, QC, CA",Canada,7689,CRJ,1805,B ,,50.0
Air Canada,Jazz Air,"Ottawa, ON, CA",Canada,8044,CRJ,0917,B ,50.0,
Air Canada,Jazz Air,"Ottawa, ON, CA",Canada,8045,CRJ,0925,B ,,50.0
Air Canada,Jazz Air,"Ottawa, ON, CA",Canada,8048,CRJ,1732,B ,50.0,
Air Canada,Jazz Air,"Ottawa, ON, CA",Canada,8049,CRJ,2005,B ,,50.0
Air France,Air France,"Paris-De Gaulle, FR",Europe,321,744,2255,E ,,477.0
Air France,Air France,"Paris-De Gaulle, FR",Europe,322,744,2035,E ,477.0,
AirTran Airways,AirTran Airways,"Akron/Canton, OH, US",North America,25,717,1901,E ,117.0,
AirTran Airways,AirTran Airways,"Akron/Canton, OH, US",North America,421,717,1740,E ,,117.0
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,117,717,2339,E ,117.0,
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,1842,717,1516,E ,117.0,
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,1843,717,1556,E ,,117.0
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,274,717,1310,E ,,117.0
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,291,717,1644,E ,117.0,
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,305,717,1859,E ,,117.0
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,344,717,1807,E ,117.0,
AirTran Airways,AirTran Airways,"Atlanta, GA, US",North America,492,717,1303,E ,117.0,
